Название,Артикул,Цена,Бренд,Категория,Описание,Картинки,Ссылка на товар
Christian Dior Sakura 125 ml LUXE,Качество LUXE Christian Dior Sakura 125 ml LUXE,2880,Christian Dior,Женская парфюмерия,"Sakura — парфюмерная вода класса-люкс с цветочным ароматом для женщин и мужчин, созданная в 2018 году знаменитым парфюмером Francois Demachy для роскошного дома моды Christian Dior из Франции. Изысканный, невероятно утонченный, легкий унисекс парфюм — нежный обворожительный аромат, который вдохновлен, по словам парфюмера, «цветением японской сакуры, чьи нежные и хрупкие цветки источали притягательный и деликатный аромат, пробуждая в воображении образ тысячи цветущих деревьев».Соблазнительный аромат Christian Dior Sakura раскрывается волшебным запахом нежнейших лепестков розовых цветов сакуры, который элегантно подчеркнут роскошными цветочными оттенками бархатисто-пряной медовой розы.",https://ik.imagekit.io/q6gbfd9lb/indexHJHGJG.800x600w.jpg_9df6141bbf2c596dabd4d213566968cd.jpg,http://parfume-opt.ru/products/sakura_125_ml_luxe
Christian Dior Rose Kabuki 125 ml LUXE,Качество LUXE Christian Dior Rose Kabuki 125 ml LUXE,2880,Christian Dior,Женская парфюмерия,"Rose Kabuki – роскошная парфюмерная вода с цветочным ароматом для женщин и мужчин, созданная в 2018 году парфюмером Francois Demachy в рамках новой эксклюзивной парфюмерной коллекции французского модного дома Christian Dior. Невероятно изысканный элегантный аромат посвящен волнующей красоте и роскошному запаху цветка турецкой розы, словно передавая величественную чувственную атмосферу таинственного Востока.Композиция парфюма Christian Dior Rose Kabuki построена вокруг аромата драгоценного эфирного масла нежных  лепестков Розы Кабуки,  который  особенно чисто и страстно звучит на мягком теплом фоне восточных пряностей, свежих душистых специй и благородных древесных оттенков.ва, на фоне которых особенно нежно и чувственно звучат оттенки сливочного сандала.",https://ik.imagekit.io/q6gbfd9lb/indexGHJGJ.800x600w.jpg_c4c7d0669ff7715b83943e667fb1e8c0.jpg,http://parfume-opt.ru/products/rose_kabuki_125_ml_luxe
Christian Dior Oud Ispahan  125 ml LUXE,Качество LUXE Christian Dior Oud Ispahan  125 ml LUXE,2880,Christian Dior,Женская парфюмерия,"Oud Ispahan («Уд Исфахан») - новый аромат для мужчин и женщин от известного французского дома моды Christian Dior . Парфюмерная композиция Oud Ispahan от Christian Dior была создана в 2012 году и вошла в группу ароматов восточные.В основе этого восточного букета лежит неповторимое сочетание драгоценных нот древесины агарового дерева с божественными аккордами дамасской розы. Парфюмерная композиция открывается верхними нотами бальзамического лабданума, которые, спустя время, дополняются благоуханиями землисто-древесного листа пачули в «сердце» букета. К концу дня композицию дополнит долгоиграющий и чувственный шлейф базовых аккордов: дерева агар, сандалового дерева и дамасской розы.",https://ik.imagekit.io/q6gbfd9lb/indexNHGJ.800x600w.jpg_fefd5a7f5555508d14336d5283ecd139.jpg,http://parfume-opt.ru/products/oud_ispahan_125_ml_luxe
Christian Dior Lucky  125 ml LUXE,Качество LUXE Christian Dior Lucky  125 ml LUXE,2880,Christian Dior,Женская парфюмерия,"Christian Dior Lucky – парфюмерная вода с цветочно-водным ароматом для женщин и мужчин, созданная в 2017 году парфюмером Франсуа Димаши  для знаменитого модного дома Christian Dior из Франции. Прелестный легкий  парфюм  Lucky («Счастливчик») представлен в рамках новой лимитированной коллекции унисекс-ароматов бренда, которые обладают воздушным «беззаботным» характером и носятся небрежно в течение  всего дня.Удивительный утонченный  аромат построен вокруг невероятно нежного прохладного и чистого запаха водной белой лилии - любимого цветка основателя бренда Christian Dior. Вся композиция парфюма пронизана освежающими цитрусовыми нотками, изысканными цветочными акцентами и чувственными оттенками амбры и мускуса на красивом, струящемся фоне древесных нот.",https://ik.imagekit.io/q6gbfd9lb/indexNHGJG.800x600w.jpg_487d1fe7fa30d0dad9070b5e91ad0c5d.jpg,http://parfume-opt.ru/products/lucky_125_ml_luxe_
Christian Dior Bois D'Argent 125  ml LUXE,Качество LUXE Christian Dior Bois D'Argent 125  ml LUXE,2880,Christian Dior,Женская парфюмерия,"The Collection Couturier Bois D`argent («Коллекция кутюрье. Серебреная древесина») - аромат для мужчин и женщин от известного французского дома моды Christian Dior . Парфюмерная композиция The Collection Couturier Bois D`argent от Christian Dior была создана в 2004 году и вошла в группу ароматов древесные шипровые. Автор букета - парфюмер Annick Menardo.Парфюмерная композиция открывается верхними нотами вечнозеленого кипариса, живого и утонченного ириса и плодов ароматного можжевельника, которые, спустя время, дополняются благоуханиями землисто-древесного листа пачули и умиротворяющего мирро в «сердце» букета. К концу дня композицию дополнит долгоиграющий и чувственный шлейф базовых аккордов: сладкого меда, дорогой кожи, драгоценной амбры, бархатного мускуса, пудровой ванили, густой смолы и ценных древесных аккордов.",https://ik.imagekit.io/q6gbfd9lb/indexHJHK.800x600w.jpg_356433171538d3045de4a689a7825b6a.jpg,http://parfume-opt.ru/products/bois_dargent_125_ml_luxe
Maison Martin Margiela Replica Dancing On The Moon 100 ml LUXE,Селективная (нишевая) парфюмерия Maison Martin Margiela Replica Dancing On The Moon 100 ml LUXE,2760,Maison Martin Margiela,Женская парфюмерия,"Каждый аромат вызывает определенные зрительные образы, и чем он сложнее и интереснее, тем большая фантазия требуется для раскрытия его сути. Цветочный альдегидный Dancing On The Moon от Maison Martin Margiela по задумке своих создателей ассоциируется с одиноким танцором, облаченным в белоснежные завитки. Танцор с букетом опавших белых цветов исполняет причудливый танец на темной стороне луны под ярким прожектором. Воссоздали столь фантастическую картину альдегиды на старте, жасмин, франжипани и ирис в сердце, а в базовом аккорде не обошлось без серой амбры, мускуса и кашмерана.Dancing On The Moon Eau de Parfum Maison Martin Margiela (в России известен как «Мартин Марджела Танцы На Луне»), выпущенный в 2016 году, классифицируется как унисекс-аромат и принадлежит семейству Цветочные. Dancing On The Moon Eau de Parfum входит в коллекцию Reproduction Of Familiar Fantasies. https://aromo.ru/fragrance/maison-martin-margiela-dancing-on-the-moon-perfume-water-eau-de-parfum-84161/Dancing On The Moon Eau de Parfum Maison Martin Margiela (в России известен как «Мартин Марджела Танцы На Луне»), выпущенный в 2016 году, классифицируется как унисекс-аромат и принадлежит семейству Цветочные. Dancing On The Moon Eau de Parfum входит в коллекцию Reproduction Of Familiar Fantasies. https://aromo.ru/fragrance/maison-martin-margiela-dancing-on-the-moon-perfume-water-eau-de-parfum-84161/Dancing On The Moon Eau de Parfum Maison Martin Margiela (в России известен как «Мартин Марджела Танцы На Луне»), выпущенный в 2016 году, классифицируется как унисекс-аромат и принадлежит семейству Цветочные. Dancing On The Moon Eau de Parfum входит в коллекцию Reproduction Of Familiar Fantasies. https://aromo.ru/fragrance/maison-martin-margiela-dancing-on-the-moon-perfume-water-eau-de-parfum-84161/",https://ik.imagekit.io/q6gbfd9lb/index_2Ckjkj.800x600w.jpg_e720c4d5cecaebfe704c37b70000444d.jpg,http://parfume-opt.ru/products/replica_dancing_on_the_moon_100_ml_luxe
Maison Martin Margiela Replica Flying 100 ml LUXE,Селективная (нишевая) парфюмерия Maison Martin Margiela Replica Flying 100 ml LUXE,2760,Maison Martin Margiela,Женская парфюмерия,"В 2016 году французским брендом Maison Martin Margiela, специализирующимся на выпуске высококлассных, качественных элитных ароматов, представлена изысканная, философская линия ароматов под названием Replica, сред которых представлено эксклюзивное творение Flying, воплощающее в реальность фантазии и мечты своего творца. Аромат олицетворяет эксцентричный, свободный и непобедимый дух Франции, позволяет мысленно вернуться в прошлое и задуматься о будущем, мысленно прогуляться по узким улочкам древнего Парижа.Парфюм Flying – это мимолетный полет мыслей и желаний, который соединяет воедино ноты цитрусов, нежных трепетных цветов и свежего весеннего воздуха. Каждый штрих аромата – это незабываемое ольфакторное удовольствие, влекущее в мир грез и тайных желаний. Сердце композиции раскрывается постепенно и ненавязчиво, увлекая за собой изумительным ароматом цветов миндаля, магией экзотичных нот иланг-иланга, приятной горечью цветочно-цитрусовых вкраплений нероли. В завершении слышны чуткие лесные, землистые отголоски дубового мха, свежесть озоновых нот и анималистические акценты мускуса, напоминающие запах весеннего леса.",https://ik.imagekit.io/q6gbfd9lb/indexGJJJGHJG.800x600w.jpg_4e4250b5b5612f8406728b5bd61da748.jpg,http://parfume-opt.ru/products/replica_flying_100_ml_luxe
Gucci By Gucci Pour Homme  90 ml LUXE,Качество LUXE Gucci By Gucci Pour Homme  90 ml LUXE,2820,Gucci,Женская парфюмерия,"Gucci By Gucci Pour Homme (духи Гуччи бай Гуччи Пур Хом) – это популярный мужской аромат, вышедший в свет в 2008 году. Он придаст облику любого джентльмена обаяния и шарма, непревзойденной элегантности и стиля. Его провокационная красота не позволит оторвать взгляда! Этот запах восхищает прохладой и свежестью, волнует глубокими древесными нотами, украшенными тонкой табачной дымкой.Ароматическая композиция этого аромата берет начало с нот фиалки, благородного кипариса и свежего бергамота. Ноты «сердца» наполнены благоуханием хрупкого жасмина и листьев дорогих сортов табака. Роскошнейший шлейф очаровывает оттенками пачули, амбры и смолы элеми. Созвучие табака с элеми наделяет композицию насыщенностью и глубоким, магнетическим характером.",https://ik.imagekit.io/q6gbfd9lb/indexJGJGJG.800x600w.jpg_4ec17032bd773001d9d2682eb0013229.jpg,http://parfume-opt.ru/products/by_gucci_pour_homme_90_ml_luxe
Paco Rabanne Olympea Solar 80 ml LUXE,новинки парфюмерии 2021-2022 Paco Rabanne Olympea Solar 80 ml LUXE,2748,Paco Rabanne,Женская парфюмерия,"Paco Rabanne Olympea Solar — женский цветочно-фруктовый аромат, выпущенный в 2022 году испанским брендом Paco Rabanne. Аромат представляет собой фланкер культовой женской композиции Olympea, которая наполнена сексуальными нотками и пробуждает желание. На старте композиции Olympea Solar раскрывается классическое цитрусовое переплетение солнечного апельсина и сладкого мандарина, причем последний — во всей красе ароматной цедры. Сердечные тона терпковатых белых цветов вместе с прекрасным пряным иланг-илангом создают ненавязчивый и при этом пьянящий цветочный букет. База композиции продолжает начатое соцветиями бузины, закрепляя эффект ароматическими запахами трав.Красивый флакон Paco Rabanne Olympea Solar в форме кубка идеально отражает особую энергетику заключенного в нем парфюма и станет украшением любого туалетного столика.",https://ik.imagekit.io/q6gbfd9lb/indexHHJ_5BPJ.800x600w.jpg_7496663587850da37dc34502b9833519.jpg,http://parfume-opt.ru/products/olympea_solar_80_ml_luxe
EX Nihilo Outcast Blue 2022 100 ml LUXE,новинки парфюмерии 2021-2022 EX Nihilo Outcast Blue 2022 100 ml LUXE,2604,EX Nihilo,Женская парфюмерия,"Ex Nihilo Outcast Blue 2022 — стильный древесно-пряный унисекс-парфюм, выпущенный в 2022 году французским нишевым брендом Ex Nihilo. Композиция представляет собой фланкер выходившего в 2019 году одноименного парфюма. В новой редакции парфюм обрел более глубокое и фактурное звучание, а флакон стал угольно-черным. Эксклюзивный, ни на что не похожий,  унисекс-аромат Outcast Blue ( Синий изгой) посвящен современному  и дерзкому поколению художников и провокаторов в искусстве.Пряный солнечный шафран и душистый черный перец открывают глубокий чувственный аромат, насыщаясь в средних нотах пирамидки композиции утонченными дурманящими цветочными акцентами белого ландыша. Шлейф парфюма Ex Nihilo Outcast Blue 2022 сплетен из зеленых пряно-лесных акцентов дубового мха, древесно-землистых  оттенков ветивера, томных  дымных  аккордов  табака и сливочного сандала.",https://ik.imagekit.io/q6gbfd9lb/indexVJLFKF.800x600w.jpg_4bb74b3358304122fad86aa9dccb9802.jpg,http://parfume-opt.ru/products/outcast_blue_2022_100_ml_luxe_
